spec,error,class,className,method,cwe
PBEKeySpecSpec,Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword. IncompleteOperationError violating CrySL rule for javax.crypto.spec.PBEKeySpec.,org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordCorrected,PredictablePBEPasswordCorrected,main,1391
PBEKeySpecSpec,First parameter should never be of type java.lang.String.. NeverTypeOfError violating CrySL rule for javax.crypto.spec.PBEKeySpec.,org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordBBCase1,PredictablePBEPasswordBBCase1,key,1391
PBEKeySpecSpec,Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword. IncompleteOperationError violating CrySL rule for javax.crypto.spec.PBEKeySpec.,org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordBBCase1,PredictablePBEPasswordBBCase1,main,1391
PBEKeySpecSpec,Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword. IncompleteOperationError violating CrySL rule for javax.crypto.spec.PBEKeySpec.,org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABICase2,PredictablePBEPasswordABICase2,main,1391
PBEKeySpecSpec,Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword. IncompleteOperationError violating CrySL rule for javax.crypto.spec.PBEKeySpec.,org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordBBCase2,PredictablePBEPasswordBBCase2,main,1391
PBEKeySpecSpec,First parameter should never be of type java.lang.String.. NeverTypeOfError violating CrySL rule for javax.crypto.spec.PBEKeySpec.,org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABICase3,PredictablePBEPasswordABICase3,method2,1391
PBEKeySpecSpec,Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword. IncompleteOperationError violating CrySL rule for javax.crypto.spec.PBEKeySpec.,org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABICase3,PredictablePBEPasswordABICase3,main,1391
PBEKeySpecSpec,First parameter should never be of type java.lang.String.. NeverTypeOfError violating CrySL rule for javax.crypto.spec.PBEKeySpec.,org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABICase1,PredictablePBEPasswordABICase1,go,1391
PBEKeySpecSpec,Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword. IncompleteOperationError violating CrySL rule for javax.crypto.spec.PBEKeySpec.,org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABICase1,PredictablePBEPasswordABICase1,main,1391
IvParameterSpecSpec,First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for javax.crypto.spec.IvParameterSpec.,org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABICase2,StaticInitializationVectorABICase2,go,329
CipherSpec,Third parameter was not properly generated as prepared I V. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.,org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABICase2,StaticInitializationVectorABICase2,go,329
SecretKeySpecSpec,First parameter was not properly generated as prepared Key Material. RequiredPredicateError violating CrySL rule for javax.crypto.spec.SecretKeySpec.,org.cryptoapi.bench.credentialinstring.CredentialInStringABMC1,CredentialInStringABMC1,go,1391
SecretKeySpecSpec,First parameter was not properly generated as prepared Key Material. RequiredPredicateError violating CrySL rule for javax.crypto.spec.SecretKeySpec.,org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyABSCase1Internal,PredictableCryptographicKeyABSCase1Internal,method1,341
SecretKeySpecSpec,First parameter was not properly generated as prepared Key Material. RequiredPredicateError violating CrySL rule for javax.crypto.spec.SecretKeySpec.,org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyABHCase2,PredictableCryptographicKeyABHCase2,main,341
IvParameterSpecSpec,First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for javax.crypto.spec.IvParameterSpec.,org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABICase1,StaticInitializationVectorABICase1,go,329
CipherSpec,Third parameter was not properly generated as prepared I V. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.,org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABICase1,StaticInitializationVectorABICase1,go,329
CipherSpec,Third parameter was not properly generated as prepared I V. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.,org.cryptoapi.bench.staticinitializationvector.CryptoStaticIV1,CryptoStaticIV1,method1,798
IvParameterSpecSpec,First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for javax.crypto.spec.IvParameterSpec.,org.cryptoapi.bench.staticinitializationvector.CryptoStaticIV1,CryptoStaticIV1,method1,798
IvParameterSpecSpec,First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for javax.crypto.spec.IvParameterSpec.,org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABICase3,StaticInitializationVectorABICase3,method2,329
CipherSpec,Third parameter was not properly generated as prepared I V. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.,org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABICase3,StaticInitializationVectorABICase3,method2,329
CipherSpec,Third parameter was not properly generated as prepared I V. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.,org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABMC1,StaticInitializationVectorABMC1,go,329
IvParameterSpecSpec,First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for javax.crypto.spec.IvParameterSpec.,org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABMC1,StaticInitializationVectorABMC1,go,329
PBEParameterSpecSpec,First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.,org.cryptoapi.bench.untrustedprng.UntrustedPRNGCase1,UntrustedPRNGCase1,main,338
SecretKeySpecSpec,First parameter was not properly generated as prepared Key Material. RequiredPredicateError violating CrySL rule for javax.crypto.spec.SecretKeySpec.,org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyABMC1,PredictableCryptographicKeyABMC1,go,341
SecretKeySpecSpec,First parameter was not properly generated as prepared Key Material. RequiredPredicateError violating CrySL rule for javax.crypto.spec.SecretKeySpec.,org.cryptoapi.bench.credentialinstring.CredentialInStringABICase2,CredentialInStringABICase2,go,1391
SecretKeySpecSpec,First parameter was not properly generated as prepared Key Material. RequiredPredicateError violating CrySL rule for javax.crypto.spec.SecretKeySpec.,org.cryptoapi.bench.credentialinstring.CredentialInStringABICase1,CredentialInStringABICase1,go,1391
SecretKeySpecSpec,First parameter was not properly generated as prepared Key Material. RequiredPredicateError violating CrySL rule for javax.crypto.spec.SecretKeySpec.,org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyABICase2,PredictableCryptographicKeyABICase2,go,341
SecretKeySpecSpec,First parameter was not properly generated as prepared Key Material. RequiredPredicateError violating CrySL rule for javax.crypto.spec.SecretKeySpec.,org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyABICase3,PredictableCryptographicKeyABICase3,method2,341
SecretKeySpecSpec,First parameter was not properly generated as prepared Key Material. RequiredPredicateError violating CrySL rule for javax.crypto.spec.SecretKeySpec.,org.cryptoapi.bench.credentialinstring.CredentialInStringABSCase1Internal,CredentialInStringABSCase1Internal,method1,1391
IvParameterSpecSpec,First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for javax.crypto.spec.IvParameterSpec.,org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorBBCase1,StaticInitializationVectorBBCase1,go,329
CipherSpec,Third parameter was not properly generated as prepared I V. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.,org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorBBCase1,StaticInitializationVectorBBCase1,go,329
IvParameterSpecSpec,First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for javax.crypto.spec.IvParameterSpec.,org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABHCase1,StaticInitializationVectorABHCase1,go,329
CipherSpec,Third parameter was not properly generated as prepared I V. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.,org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABHCase1,StaticInitializationVectorABHCase1,go,329
SecretKeySpecSpec,First parameter was not properly generated as prepared Key Material. RequiredPredicateError violating CrySL rule for javax.crypto.spec.SecretKeySpec.,org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyABICase1,PredictableCryptographicKeyABICase1,go,341
SecretKeySpecSpec,First parameter was not properly generated as prepared Key Material. RequiredPredicateError violating CrySL rule for javax.crypto.spec.SecretKeySpec.,org.cryptoapi.bench.credentialinstring.CredentialInStringABICase3,CredentialInStringABICase3,method2,1391
SecretKeySpecSpec,First parameter was not properly generated as prepared Key Material. RequiredPredicateError violating CrySL rule for javax.crypto.spec.SecretKeySpec.,org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyABPSCase1,PredictableCryptographicKeyABPSCase1,main,349
CipherSpec,Third parameter was not properly generated as prepared I V. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.,org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABHCase2,StaticInitializationVectorABHCase2,go,329
IvParameterSpecSpec,First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for javax.crypto.spec.IvParameterSpec.,org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABHCase2,StaticInitializationVectorABHCase2,go,329
SecretKeySpecSpec,First parameter was not properly generated as prepared Key Material. RequiredPredicateError violating CrySL rule for javax.crypto.spec.SecretKeySpec.,org.cryptoapi.bench.credentialinstring.CredentialInStringABHCase1,CredentialInStringABHCase1,main,1391
SecretKeySpecSpec,First parameter was not properly generated as prepared Key Material. RequiredPredicateError violating CrySL rule for javax.crypto.spec.SecretKeySpec.,org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyBBCase1,PredictableCryptographicKeyBBCase1,main,341
